MENTION,position,situation,votes,party,state,region,term,age,Twitter,twitter_followers,Facebook,facebook_followers,Instagram,instagram_followers,YouTube,youtube_link,youtube_followers,Site,variations
Margarida Salomão,Deputada Federal,Não está em exercício,,PT,MG,Sudeste,,,,,,,,,,,,,
Maria do Carmo Alves,Senadora,Não está em exercício,,PROGRESSISTAS,SE,Nordeste,,,,,,,,,,,,,
Gorete Pereira,Deputada Federal,Não está em exercício,,PL,CE,Nordeste,,,,,,,,,,,,,
Flavia Arruda,Deputada Federal,Titular em exercício,,PL,DF,Centro-Oeste,,,,,,,,,,,,,
Adriana Ventura,Deputada Federal,Titular em exercício,64.341,NOVO,SP,Sudeste,fev-2019/jan-2023,52,@adriventurasp,23.340,Adriana Ventura ,18.864,@adriventurasp,"17,3 mil",UC4CLvdtnUGoq39PYcToSOSw,https://www.youtube.com/channel/UC4CLvdtnUGoq39PYcToSOSw,1.320,,"Adriana Ventura, Adriana Miguel, Adriana Vemtura, adriventurasp"
Alê Silva,Deputada Federal,Titular em exercício,47.662,UNIÃO,MG,Sudeste,fev-2019/jan-2023,46,@alesilva_38,129.345,Alê Silva,81.887,@alesilva.oficial,"52, 7 mil",UCWGscB8R2ecnNrdr_UCmaRA,https://www.youtube.com/c/Al%C3%AASilvaOficial/videos,2.240,,"Alê Silva, AlêSilvaOficial, alesilva.oficial, @alesilva_38"
Alice Portugal,Deputada Federal,Titular em exercício,126.031,PCdoB,BA,Nordeste,fev-2019/jan-2023,61,@Alice_Portugal,25.475,Alice Portugal,79.222,@aliceportugal,"26,7 mil",UCwXQiSit2nn-ggtnVF-Hz0w,https://www.youtube.com/user/depaliceportugal,833,,"Alice Portugal, depaliceportugal, Alice_Portugal"
Aline Gurgel,Deputada Federal,Titular em exercício,16.519,REPUBLICANOS,AP,Norte,fev-2019/jan-2023,40,@dep_alinegurgel,5.438,Aline Gurgel,15.888,@dep_alinegurgel,"22,1 mil",UC7v2Ng9B1UAxhEypPw5cEag,https://www.youtube.com/channel/UC7v2Ng9B1UAxhEypPw5cEag,24,,"Aline Gurgel, dep_alinegurgel, Aline gurjel, Aline Paranhos Varonil, Alline Gurgel, Alinne Gurgel"
Aline Sleutjes,Deputada Federal,Titular em exercício,33.628,UNIÃO,PR,Sul,fev-2019/jan-2023,41,@AlineSleutjes,56.123,Deputada Federal Aline Sleutjes ,49.526,@alinesleutjes,"43,7 mil",UCcryiDLj86mGK2kPc4idoGg,https://www.youtube.com/c/AlineSleutjesOficial/videos,982,,"Aline Sleutjes, AlineSleutjesOficial        Aline Sletjes, Aline Sluetjes, Aline Sleutje, Aline Sleutjs, Aline Sluetjs,     Aline Sluetje, aline seutjes, aline sletjes, aline sleujes, aline sleutes"
Ângela Amin,Deputada Federal,Titular em exercício,86.189,PROGRESSISTAS,SC,Sul,fev-2019/jan-2023,67,@DeputadaAngela,713,Angela Amin ,18.163,@angelaaminoficial,"14,7 mil",UCL1HjOmp6cF9lekm8qmGxRA,https://www.youtube.com/channel/UCL1HjOmp6cF9lekm8qmGxRA,869,,"Ângela Amin, DeputadaAngela, angelaaminoficial, Angela Amim, Ângela amim, Angela Anim, Angela Anin"
Áurea Carolina,Deputada Federal,Titular em exercício,161.878,PSOL,MG,Sudeste,fev-2019/jan-2023,37,@aureacarolinax,84.750,Áurea Carolina ,57.647,@aureacarolina,102 mil,UC239_uqJp21Cymi5abxJdrw,https://www.youtube.com/c/%C3%81ureaCarolinax/videos,1.770,,"Áurea Carolina, aureacarolinax, Área Carolina , Áurea Karolina, Aura Carolina, aurea carol, auria carol"
Benedita da Silva,Deputada Federal,Titular em exercício,44.804,PT,RJ,Sudeste,fev-2019/jan-2023,78,@dasilvabenedita,132.768,Benedita da Silva ,144.064,@instadabene,159 mil,UCG_ROdLbFAP2xcdKHplyqKg,https://www.youtube.com/channel/UCG_ROdLbFAP2xcdKHplyqKg,3.090,,"Benedita da Silva, instadabene, dasilvabenedita, Beneditta da Silva        Benedita Silva, Bené da Silva"
Bia Cavassa,Deputada Federal,Suplente em exercício,17.834,PSDB,MS,Centro-Oeste,fev-2019/jan-2023,51,@BiaCavassa,523,Bia Cavassa,13.219,@biacavassa,3.115,Não tem,,,,"Bia Cavassa, Bia Cavasa, Bia Cavaça, Bia cassava, Bia caçava"
Bia Kicis,Deputada Federal,Titular em exercício,84.999,UNIÃO,DF,Centro-Oeste,fev-2019/jan-2023,59,@BiaKicis,740.565,Bia Kicis,764.512,@biakicis,763 mil,UCeCm6AiQfKamRlBHOGPNVOg,https://www.youtube.com/channel/UCeCm6AiQfKamRlBHOGPNVOg,208.000,,"Bia Kicis, Bia Kisses, Bia Kycis, Bia Kices, Bia Kyces, Bia Kiss, Bia Kics, Bia quicis, Bia kisis, Bia kissis"
Bruna Furlan,Deputada Federal,Titular em exercício,126.847,PSDB,SP,Sudeste,fev-2019/jan-2023,37,@DepBrunaFurlan,12.050,Bruna Furlan Deputada Federal  ,183.779,@depbrunafurlan,"39,7 mil",UCyuTseDpevq_N-qIw0yvctA,https://www.youtube.com/channel/UCyuTseDpevq_N-qIw0yvctA,143,,"Bruna Furlan, depbrunafurlan, Bruna Furlan Deputada Federal, Bruna Furlam, Bruna Frulam"
Carla Dickson,Deputada Federal,Suplente em exercício,60.590,PROS,RN,Nordeste,jun-2020/jan-2023,44,@carladicksonrn,705,Carla Dickson ,5.590,@carladicksonoficial,"36,5 mil",UCaI7dtELVVQdmLhzxmNQMcQ,https://www.youtube.com/channel/UCaI7dtELVVQdmLhzxmNQMcQ,1.040,,"Carla Dickson, carladicksonrn, carladicksonoficial, Carla Dikson, Carla Dicson, Carla Dicksson, Carla Dicsson, Carla Diksson, Carla Diquisson, Karla Dikson, karla Dickson,"
Carla Zambelli,Deputada Federal,Titular em exercício,76.306,UNIÃO,SP,Sudeste,fev-2019/jan-2023,40,@CarlaZambelli38,1.199.544,Carla Zambelli ,1.367.715,@carla.zambelli,"1,8M",UCX9VzlP1DyeasSivEr9Eddw,https://www.youtube.com/user/nasruastv,447,,"Carla Zambelli, CarlaZambelli38, carla.zambelli, nasruastv, Carla Zambeli, Zambelli, Zambeli, Karla Zambeli, Karla Zambelli, Carla Sambeli, Karla Sambeli"
Carmen Zanotto,Deputada Federal,Titular em exercício,,CIDADANIA,SC,Sul,,,@carmen_zanotto,1.189,Carmen Zanotto,,@carmenzanotto_lages,,UCzAS0CBecoZd41tyCclv19A,https://www.youtube.com/channel/UCzAS0CBecoZd41tyCclv19A,245,,"Carmen Zanotto, carmenzanotto_lages, carmen_zanotto, Carmem Zanotto, Carmem Zanoto, Carmen Zanoto, Carmem Sanoto, Carmen Sanoto"
Caroline de Toni,Deputada Federal,Titular em exercício,109.363,UNIÃO,SC,Sul,fev-2019/jan-2023,34,@CarolDeToni,397.024,Caroline De Toni,113.996,@carolinedetoni,323 mil,UC19ssAcZKcE2J6WL0C0FewQ,https://www.youtube.com/channel/UC19ssAcZKcE2J6WL0C0FewQ,33.800,,"Caroline de Toni, CarolDeToni, Carolini de Toni, Caroline detoni        Carolina de toni, Caroline Detone, Caroline di Toni, Caroline de Tone"
Celina Leão,Deputada Federal,Titular em exercício,31.610,PROGRESSISTAS,DF,Centro-Oeste,fev-2021/jan-2023,44,@celinaleao,7.259,Celina Leão ,105.371,@celinaleao,"61,5 mil",UCe0zsysxKAL7X0Fo0K-KeiA,https://www.youtube.com/c/BateBolacomCelinaLe%C3%A3o/videos,713,,"Celina Leão, BateBolacomCelinaLeão, Cellina Leão        Celine Leão, Selina Leão, Seline Leão"
