MENTION,position,situation,votes,party,state,region,term,age,Twitter,twitter_followers,Facebook,facebook_followers,Instagram,instagram_followers,YouTube,youtube_link,youtube_followers,Site,variations
Gleisi Hoffmann,Deputada Federal,Titular em exercício,212.513,PT,PR,Sul,fev-2019/jan-2023,55,@gleisi,766.135,Gleisi Hoffmann ,1.333.000,@gleisihoffmann,449 mil,UCYrpiXO_4lmsDHO6Xidq9mw,https://www.youtube.com/user/agleisihoffmann,177.000,,"Gleisi Hoffmann, agleisihoffmann, Gleisi Hofmann, Gleisi Hofman, Gleisi Hoffman, Gleisi Rofiman, Gleice Rofiman,  Gleice Rofimam, Gleici Hoffmann, Gleisi Lula, Gleici Hofmann, Gleici Hofman, Gleici Hoffman, Gleise Hoffmann, Gleise Hofmann, Gleise Hofman, Gleise Hoffman"
Greyce Elias,Deputada Federal,Titular em exercício,37.501,AVANTE,MG,Sudeste,fev-2019/jan-2023,39,@greyceelias,519,Greyce Elias ,12.287,@greyceelias,"26,3 mil",UCcSZxLiSfO1dFmAryUnxPHg,https://www.youtube.com/channel/UCcSZxLiSfO1dFmAryUnxPHg/videos,8,,"Greyce Elias, Greice Elias, Gleyce Elias, Gleice Elias, Gleici Elias"
Iracema Portella,Deputada Federal,Titular em exercício,96.271,PROGRESSISTAS,PI,Nordeste,fev-2019/jan-2023,54,@iracemaportela,6.653,Iracema Portella ,74.205,@iracemaportella,"45,5 mil",UCmiZBVrSOc75n6Z0I0lLvdg,https://www.youtube.com/user/IracemaPortella,136,,"Iracema Portella, Iracema Portela, Yracema Portela, Yracema Portella"
Jandira Feghali,Deputada Federal,Titular em exercício,71.646,PCdoB,RJ,Sudeste,fev-2019/jan-2023,63,@jandira_feghali,440.635,Jandira Feghali,1.191.953,@jfeghali,445 mil,UC5WztziL5qYaHXCT97jMAPg,https://www.youtube.com/user/sigajandira,101.000,,"Jandira Feghali, sigajandira, jfeghali, jandira_feghali, Jandira Fegali, Jandhira Fegali, Jandhira Feghali"
Jaqueline Cassol,Deputada Federal,Titular em exercício,34.193,PROGRESSISTAS,RO,Norte,fev-2019/jan-2023,46,@jqcassol,1.309,Jaqueline Cassol ,25.663,@jaquelinecassol,"27,4 mil",UCIOJWd4xI1WzxTrD0z_YljQ,https://www.youtube.com/channel/UCIOJWd4xI1WzxTrD0z_YljQ,142,,"Jaqueline Cassol, jqcassol, Jaqueline Caçol, Jaqueline Casol"
Jéssica Sales,Deputada Federal,Titular em exercício,"28,717",MDB,AC,Norte,fev-2019/jan-2023,40,-,-,Jéssica Sales,19.712,@jessicasalesdeputada,"17,4 mil",Não tem,,,,"Jéssica Sales, jessicasalesdeputada, Jéssica Salles"
Joênia Wapichana,Deputada Federal,Titular em exercício,8.482,REDE,RR,Norte,fev-2019/jan-2023,46,@JoeniaWapichana,9.522,Joênia Wapichana ,20.612,@joeniawapichana,"36,2 mil",Não tem,,,,"Joênia Wapichana, Joênia Apichana, Joêna Apichana, Joêna Wapichana, Joenia Apixana, Joenia Wapixana, Joênia Uapichana"
Joice Hasselmann,Deputada Federal,Titular em exercício,1.078.666,UNIÃO,SP,Sudeste,fev-2019/jan-2023,42,@joicehasselmann,345.824,Joice Hasselmann,1.793.007,@joicehasselmannoficial,909 mil,UCgfV9J6FuOXaJnp-UuNRydA,https://www.youtube.com/channel/UCgfV9J6FuOXaJnp-UuNRydA,875.000,,"Joice Hasselmann, joicehasselmannoficial, Joyce Hasselmann,  Joyce Haselmann, Joyce Haselman, Joice Haselmann, Joice Haselman, Joice Hassellmman, Joice Halsemann, Joyce Halsemann, Joyce Hasselman"
Lauriete Malta,Deputada Federal,Titular em exercício,51.983,PSC,ES,Sudeste,fev-2019/jan-2023,51,@laurietecantora,158.943,Deputada Federal Lauriete ,118.510,@deputada.lauriete,10 mil,Não tem,,,,"Lauriete Malta, deputada.lauriete, Deputada Federal Lauriete, laurietecantora, Lauriette Malta, Lauriete Matta, Lauriete Mata, Laurete Malta"
Leandre Dal Ponte,Deputada Federal,Titular em exercício,123.958,PV,PR,Sul,fev-2019/jan-2023,45,@deputadaleandre,7,Leandre Dal Ponte ,16.468,@leandredalponte,5.623,UCzdWH5useGalibpneaWTC8A,https://www.youtube.com/c/DeputadaLeandreDalPonte/videos,558,,"Leandre Dal Ponte, DeputadaLeandreDalPonte, leandredalponte, deputadaleandre, Leandre, Leandra Dal Ponte        Lenadra Dal Ponte        Leandre da Ponte"
