URL,AUTHOR_NAME,AUTHOR_ID,AUTHOR_NICK,Page.Category,Page.Admin.Top.Country,Page.Description,Page.Created,Likes.at.Posting,Followers.at.Posting,Post.Created,Post.Created.Date,Post.Created.Time,Type,Total.Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video.Share.Status,Is.Video.Owner?,Post.Views,Total.Views,Total.Views.For.All.Crossposts,Video.Length,Link,Image.Text,Link.Text,Description,Total.Interactions.weighted,Overperforming.Score,GRAU_OFENSA,TIPO_RETORIC,DESINFO,BRINCADEIRA,GÊNERO,ORIENT.SEX,RACA,APARENCIA,ORIGEM.GEO,COND.FISIC,COND.SOC,RELIG,POL.IDEOLOG,COMENTARIO
https://www.facebook.com/385910361528275/posts/4147094278743179,JornalDaCidadeDeAgudos,385910361528275,Jornal da Cidade de Agudos,MEDIA_NEWS_COMPANY,BR,Jornal Cidade de Agudos,2013-06-07 14:13:09,1635,1665,2021-08-07 08:46:09 BRT,2021-08-07,08:46:09,Photo,0,0,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/JornalDaCidadeDeAgudos/photos/a.3596676093785003/4147094188743188/?type=3,A1 INILCDDEDEXCLDOE Página 10 Estudantes de Agudos são premiados em concurso de arte da Sabesp etratamento R$364 Flor de lis Qualidade bem querer! 14 996565432,NA,NA,0,-18,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/280098215452893/posts/4375751805887493,ptdf13,280098215452893,PT - DF,ACTIVITY_GENERAL,BR,Página oficial do Diretório Regional do Partido dos Trabalhadores no Distrito Federal. Filie-se e,2013-01-30 23:57:53,17164,18464,2021-12-01 22:33:43 BRT,2021-12-01,22:33:43,Photo,33,25,2,2,4,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/280098215452893/photos/a.526333054162740/4375751315887542/?type=3,NA,Photos from PT - DF's post,NA,33,1.38,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/108337050625004/posts/439011390890900,aliancapelobrmucambo,100066638119521,Aliança pelo Brasil - Mucambo,POLITICAL_PARTY,BR,"O Partido Aliança pelo Brasil representa a união, o resgate e um novo caminho para o Brasil. Um Pa",2019-11-13 04:48:55,1182,1210,2021-10-21 18:45:25 BRT,2021-10-21,18:45:25,Native Video,0,0,0,0,0,0,0,0,0,0,share,No,2,138185,0,00:06:39,https://www.facebook.com/ZambelliOficial/videos/573851997200293/,NA,Carla Zambelli,"Na Paraíba, Presidente Jair Messias Bolsonaro inaugura a etapa final do Eixo Norte da integração do São Francisco.

Ao todo, o projeto de integração do Rio São Francisco vai levar água a 12 milhões de brasileiros!

O sonho de D. Pedro II está sendo realizado!

#ParaTodosVerem: A imagem traz o seguinte título: Bolsonaro rebate críticas. Abaixo, o texto entre aspas repete um trecho da fala do presidente: “queria ver a Miriam Leitão viver com 192 reais por mês”. Por fim, no centro da imagem, o vídeo com o Presidente Bolsonaro discursando em São José das Piranhas – Paraíba.",0,-30,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/102957471277599/posts/402961237943886,SofismaPeriodismoQR,102957471277599,Sofisma Quintana Roo Periodismo,MEDIA_NEWS_COMPANY,MX,Somos Un Medio de comunicación Verídico con el fin de informales; Las Noticias y Acontecimientos en Quintana Roo y el Sureste.,2020-02-03 19:58:54,1876,2675,2021-10-14 21:33:21 BRT,2021-10-14,21:33:21,Photo,0,0,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/SofismaPeriodismoQR/photos/a.103857607854252/402961094610567/?type=3,"""INSTALACIÓN DEL COMITÉ DE PLANEACIÓN PARA EL DESARROLLO MPAL."" (COPLADEMUN 2021-2024) del 2021 Roo",Photos from Sofisma Quintana Roo Periodismo's post,NA,0,-60,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/321617257881594/posts/4620097518033525,oaltoacreac,321617257881594,Oaltoacre,TOPIC_NEWSPAPER,BR,O Seu Jornal da Fronteira,2012-02-05 01:15:51,25300,28099,2021-08-31 17:53:21 BRT,2021-08-31,17:53:21,Link,1,1,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://oaltoacre.com/deputado-alan-rick-destaca-que-ate-novembro-inep-publica-edital-do-segundo-revalida-de-2021/,NA,Deputado Alan Rick destaca que até novembro INEP publica edital do segundo Revalida de 2021,"O deputado federal Alan Rick (DEM), juntamente com a deputada professora Dorinha, – presidente da Comissão de Educação da Câmara dos Deputados -, reuniu-se na manhã de terça-feira, 31, com o …",1,-42,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/588475567876982/posts/4798429653548198,SociologiaEAnalise,588475567876982,Sociologia & Análise,NEWS_SITE,BR,O Blog: Sociologia & Análise é um portal de informação com ampla disseminação de conteúdo presente nas Ciências Sociais.,2013-08-27 03:11:37,252339,262826,2021-12-16 16:38:05 BRT,2021-12-16,16:38:05,Photo,254,180,36,14,18,0,6,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/267949976607343/photos/a.520788401323498/4759271714141791/?type=3,"Lula @LulaOficial Querida companheira deputada @natbonavides Inaceitáveis as falas machistas e de incitação à violência de gente atrasada. Lugar das mulheres é onde elas quiserem, inclusive na política, que precisa de mais pessoas de luta e fibra como você. 10:52 16 dez 21 Twitter Web App",Lula,"Estamos com você, Natália Bonavides.",254,-1.87,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/149121948526976/posts/4079927828779682,deputadaaliceportugal,100047278623869,Alice Portugal,POLITICIAN,BR,Alice Portugal,2011-12-05 14:21:38,80298,98430,2021-09-24 00:21:59 BRT,2021-09-24,00:21:59,Photo,139,88,9,19,2,0,0,11,2,8,NA,-,0,0,0,N/A,https://www.facebook.com/deputadaaliceportugal/photos/a.1501269469978877/4079927655446366/?type=3,1 A PEC 32 ÉO 0 DESMONTE DO ESTADO BRASILEIRO #PEC32 É DESMONTE CANCELA #PEC32 CANCELA,Photos from Alice Portugal's post,NA,139,-1.51,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/221877388004496/posts/1770452483146971,pcdobnacamara,100044454698826,PCdoB na Câmara,POLITICAL_PARTY,BR,A Bancada do PCdoB na Câmara é formada por oito parlamentares. O líder é o deputado Renildo Calh,2014-02-27 19:18:59,57050,64097,2021-10-20 11:22:07 BRT,2021-10-20,11:22:07,Native Video,12,7,0,5,0,0,0,0,0,0,owned,Yes,129,129,0,00:03:01,https://www.facebook.com/pcdobnacamara/videos/238791658287294/,NA,NA,NA,12,-1.67,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/562768053773549/posts/271654604330700,radiosume,100063681243593,Radiocidade Sumé,ENTERTAINMENT_SITE,BR,Emissora de Rádio no Cariri Paraibano.Fazendo cidadania e prestação de serviços.Valorizado a cul,2013-06-10 20:15:46,28984,37132,2021-08-12 06:03:36 BRT,2021-08-12,06:03:36,Live Video Complete,117,48,64,4,1,0,0,0,0,0,crosspost,Yes,465,485,503,01:42:42,https://www.facebook.com/radiosume/videos/271654604330700/,NA,12-08 Café da Manhã,NA,117,1.39,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.facebook.com/276597005806405/posts/2515806345218782,conselhopsicologiars,276597005806405,Conselho Regional de Psicologia do RS,PUBLIC_SERVICES_GOVERNMENT,BR,"O Conselho Regional de Psicologia é uma autarquia de direito público que tem por função orientar, fiscalizar e disciplinar a profissão de psicólogo/a.",2013-02-20 19:12:10,27315,28756,2021-11-19 14:47:58 BRT,2021-11-19,14:47:58,Photo,34,24,4,4,2,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/conselhopsicologiars/photos/a.308338432632262/2515787748553975/?type=3,NA,Photos from Conselho Regional de Psicologia do RS's post,NA,34,-1.03,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
