AUTHOR_ID,TEXT,nn,in_reply_to_user_id,hashtags,possibly_sensitive,conversation_id,source,created_at,type,id1,ID,retweet_count,reply_count,like_count,quote_count,lang,GRAU_OFENSA,TIPO_RETORIC,DESINFO,BRINCADEIRA,GÊNERO,ORIENT.SEX,RACA,APARENCIA,ORIGEM.GEO,COND.FISIC,COND.SOC,RELIG,POL.IDEOLOG,COMENTARIO,OBSERVACOES
1381595348066533381,"Cultura não tem patrocinadores de espetáculos, filmes e eventos??? Governo deve manter Educação em alto nível,shows das siliconadas e filmes ridículos que alguém patrocine como é no mundo inteiro!!! https://t.co/p851ME1N5W",1,NA,NULL,FALSE,1437806053983391753,Twitter Web App,2021-09-14T15:50:51.000Z,quoted,1437796526051442692,1437806053983391753,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1244326149032943616,"@jandira_feghali O PCdoB e o PSOLos partidos solicitam que os ministros determinem uma ação cautelar para implantar em nível federal,com estados municípios,providências urgentes combate à pandemia de Covid-19”. Entre as medidas está o lockdown, ou seja, restrição total de circulação da população. https://t.co/A3PUlbBvnD",2,39116717,NULL,FALSE,1436373945528328194,Twitter for iPhone,2021-09-10T18:10:03.000Z,replied_to,1436391536669908992,1436373945528328194,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1265390709949042691,"@Rosas_Siempre @de_thule @JaumeBassObiols @misteriosohood @IndhaLezzio Muy buenos días, María J. !! 😘😘",3,847849502744731649,NULL,FALSE,1463575141481336834,Twitter Web App,2021-11-25T07:32:39.000Z,replied_to,1463767830663421953,1463772605211717633,0,0,4,0,es,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1042246210986356736,"@CarlaZambelli38 É extremamente vital que seja aprovada, isto vai retirar da rua criminosos condenados lesivos ao país.",4,975127727501185025,NULL,FALSE,1466130835267014656,Twitter for iPhone,2021-12-01T19:50:10.000Z,replied_to,1466130835267014656,1466132534098595844,0,0,1,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1348087027359752193,@erikakokay Simples. https://t.co/Qvce2ON8pe,5,87021796,NULL,FALSE,1439356993135943684,Twitter for Android,2021-09-20T00:36:48.000Z,replied_to,1439356993135943684,1439750355877875714,0,0,0,0,es,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1140806145256448001,@RonanBotelho @PSDBoficial @joicehasselmann Por isso mesmo ela tá no lugar certo kkkkkkk vai enterrar de vez o PSDB kkkkk,6,66209306,NULL,FALSE,1446113090223833100,Twitter for Android,2021-10-07T22:19:19.000Z,replied_to,1446113826215063567,1446238735843172356,0,0,1,0,pt,Crítica,Desqualificadora,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1244426916972675074,"@DieguezTinho @PMannatis @SimoneTebetms @Angela55639573 @Autofalantee Eu sei é assim que você fala com teu progenitor ou falava,  porque ele foi comprar cigarros e nunca mais voltou.",7,2984956355,NULL,FALSE,1427661993108983809,Twitter for Android,2021-08-18T04:22:05.000Z,replied_to,1427841440428838916,1427848250535591942,0,0,2,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
172143088,"@Ismgomes @rafaelcantunes @LulaOficial @natbonavides Não há hipocrisia de uma coisa a anos e anos atrás, do qual o mesmo inclusive já se retratou diversas vezes. O que há é uma tentativa de vocês de inverter valores, no momento que deveria tá preocupado era com a fala absurda e atual do ratinho.",8,48334811,NULL,FALSE,1471478314414006276,Twitter for Android,2021-12-16T23:06:16.000Z,replied_to,1471512628329533445,1471617704993951748,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
69563305,"@ruirapina3 BOLSONARO, o CRIMINOSO MENTIROSO, #PERDEU ...

GRANDE DIA para o BRASIL ...

Bia Kicis e os #VAGABUNDOS do BOLSONARISMO #NUNCA MAIS serão ELEITOS ...

#VotoImpressoNAO 

#ChoroImpresso

#ForaBolsonaro #BolsonaroVaiCair #BolsonaroLadrao #BolsoanroNaCadeia https://t.co/085K3IVuRb",9,1366170199297298435,"list(start = c(46, 104, 132, 163, 182, 198, 213, 231, 248), end = c(53, 115, 138, 179, 196, 212, 230, 247, 266), tag = c(\PERDEU\, \VAGABUNDOS\, \NUNCA\, \VotoImpressoNAO\, \ChoroImpresso\, \ForaBolsonaro\, \BolsonaroVaiCair\, \BolsonaroLadrao\, \BolsoanroNaCadeia\))",FALSE,1425255525739020294,Twitter Web App,2021-08-11T16:28:19.000Z,replied_to,1425255525739020294,1425494297193947137,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1384329893677252608,@Biakicis @jairbolsonaro E a fome?? Algum decreto?? É urgente.. assim o Petêeeeeee volta,10,357030742,NULL,FALSE,1464531929710084103,Twitter for iPhone,2021-11-27T11:10:04.000Z,replied_to,1464531929710084103,1464552096708055043,0,1,6,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
